Transaction Hash,Blockno,UnixTimestamp,DateTime (UTC),From,To,Quantity,Method,Z-Score
0x99116776c3966784a07b273005660e59cee2d1ee19ce48408c26791fab0d986b,20022977,1717558583,2024-06-05 03:36:23,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x111111125421ca6dc452d289314280a0f8842a65,1305.25420481933,Swap,0.11577344002038632
0x99116776c3966784a07b273005660e59cee2d1ee19ce48408c26791fab0d986b,20022977,1717558583,2024-06-05 03:36:23,0x111111125421ca6dc452d289314280a0f8842a65,0x50f756d53bf4784fa54cf0b2c4a19da109e32317,1305.25420481933,Swap,0.11577344002038632
0x93fc0096b3393b9aa938b51a870d63a18e32cad1001cbd49d9afab1f92b18aae,20022977,1717558583,2024-06-05 03:36:23,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x983dfba1c0724786598af0e63a9a6f94aabd24a1,763.0595851910275,-,0.048071497336534805
0x481eb0a9b4a55f3a27996ff518dcdfe8065183f37c902eb54d3d13d5b7f0b6a9,20024846,1717581095,2024-06-05 09:51:35,0x4062b997279de7213731dbe00485722a26718892,0xe37e799d5077682fa0a244d46e5649f71457bd09,1000.0,Swap,0.07765741686093376
0x8e17e065a8e7158d72020892d501caabef46179a80c1bc94e15f8379228ef879,20026556,1717601699,2024-06-05 15:34:59,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,971.0189977032973,Execute,0.0740386606332216
0x8e17e065a8e7158d72020892d501caabef46179a80c1bc94e15f8379228ef879,20026556,1717601699,2024-06-05 15:34:59,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xc0ca6621368471b9ee92bedc5573e241ceb6254c,968.5914502090391,Execute,0.07373554128203501
0xa1ea3efb9c105a339ccc42675dc8d430a4cfe270981b597eba131107fb1e3a81,20026593,1717602143,2024-06-05 15:42:23,0x6889de313803839ce3e15996a86167f639b4a634,0x0000000000000000000000000000000000000000,1468.45988962383,Transfer To Near,0.13615236212383286
0xf9c450230e81979ce8823e5cbf384b6158439a56a68066a1e70c7316146f7797,20032174,1717669499,2024-06-06 10:24:59,0x0000000000000000000000000000000000000000,0x2ada5ca7dcf3617c765da1bd05886dabae11fa9e,1404.64481251206,Finalise Near To Eth Transfer,0.12818399700809557
0x1e42e83dba89072de57d87135ce213af0b1956780534dd65797b90dbb62d2111,20032878,1717677995,2024-06-06 12:46:35,0xa3a7b6f88361f48403514059f1f16c8e78d60eec,0x2906d1e0f88c12a2de38ef720b2c1e90eb6e6252,958.7568515969974,Execute Transaction,0.07250752940687553
0xa40d83df9c2745070f6beecad02867150b19f53018c1b7afc80b5944047a35d5,20036943,1717727063,2024-06-07 02:24:23,0xee8aaa362a75fbf8e0a38a50ddc27f38551e16ea,0xe37e799d5077682fa0a244d46e5649f71457bd09,791.9160387745111,Swap,0.051674701602758485
0xa40d83df9c2745070f6beecad02867150b19f53018c1b7afc80b5944047a35d5,20036943,1717727063,2024-06-07 02:24:23,0xe37e799d5077682fa0a244d46e5649f71457bd09,0x1111111254eeb25477b68fb85ed929f73a960582,1323.0291774389,Swap,0.1179929385803723
0xa40d83df9c2745070f6beecad02867150b19f53018c1b7afc80b5944047a35d5,20036943,1717727063,2024-06-07 02:24:23,0x1111111254eeb25477b68fb85ed929f73a960582,0xbe45585ea0629a900e9a0c663dc643221e7374ba,1323.0291774389,Swap,0.1179929385803723
0x735a045e1063f23344504d3d518fa46470911bdf6e59a0ca736553e31dc50ea8,20039750,1717760831,2024-06-07 11:47:11,0x0000000000000000000000000000000000000000,0xbc6a5cfcf24eacda3c25c042494ef21b77165738,3199.0,Finalise Near To Eth Transfer,0.3522388431094103
